id_producto,nombre,categoria,proveedor,costo_unitario,precio_lista
1,Arroz extra 5kg,granos,Molino Norte,18.95,27.3
2,Azucar rubia 1kg,Endulzantes,Dulce Peru,3.35,4.79
3,Aceite vegetal 1L,Aceites,  Oleo Andino ,8.03,12.76
4,Fideos spaghetti,Pastas,Pastas Sol,2.23,3.62
5,Leche evaporada,Lacteos,Lacteos Lima,3.19,5.1
6,Atun en lata,Conservas,Mar Azul,4.39,6.74
7,Cafe instantaneo,Bebidas,Cafe Sierra,9.7,14.87
8,galletas soda,Snacks,Dulcesur,1.64,2.79
9,Detergente bolsa,Limpieza,Casa Limpia,6.62,9.65
10,Papel higienico,Limpieza,Suave Hogar,5.76,9.3
11,Yogurt familiar,Lacteos,Lacteos Lima,4.69,7.48
12,Lenteja 500g,Menestras,Campo Bueno,3.38,5.14
